0.00 	 -nan	 -nan 	  -nan
0.01 	 -nan	 -nan 	  -nan
0.02 	 3.50	 0.00 	  0.00
0.03 	 3.50	 0.00 	  0.00
0.04 	 3.50	 -0.00 	  -0.00
0.05 	 3.50	 0.00 	  0.00
0.06 	 3.50	 -0.00 	  0.00
0.07 	 3.50	 0.00 	  0.00
0.08 	 3.50	 0.00 	  0.00
0.09 	 3.50	 0.00 	  0.00
0.10 	 3.50	 0.00 	  0.00
0.11 	 3.50	 0.00 	  0.00
0.12 	 3.50	 0.00 	  0.00
0.13 	 3.50	 0.00 	  0.00
0.14 	 3.50	 0.00 	  0.00
0.15 	 3.50	 0.00 	  0.00
0.16 	 3.50	 0.00 	  0.00
0.17 	 3.50	 0.00 	  0.00
0.18 	 3.50	 0.00 	  0.00
0.19 	 3.50	 0.00 	  0.00
0.20 	 3.50	 0.00 	  0.00
0.21 	 3.50	 0.00 	  0.00
0.22 	 3.50	 0.00 	  0.00
0.23 	 3.50	 0.00 	  0.00
0.24 	 3.50	 0.00 	  0.00
0.25 	 3.50	 0.00 	  0.00
0.26 	 3.50	 0.00 	  0.00
0.27 	 3.50	 0.00 	  0.00
0.28 	 3.50	 0.00 	  0.00
0.29 	 3.50	 0.00 	  0.00
0.30 	 3.50	 0.00 	  0.00
0.31 	 3.50	 0.00 	  0.00
0.32 	 3.50	 0.00 	  0.00
0.33 	 3.50	 0.00 	  0.00
0.34 	 3.50	 0.00 	  0.00
0.35 	 3.50	 0.00 	  0.00
0.36 	 3.50	 0.00 	  0.01
0.37 	 3.50	 0.00 	  0.01
0.38 	 3.50	 0.00 	  0.01
0.39 	 3.50	 0.00 	  0.01
0.40 	 3.50	 0.00 	  0.01
0.41 	 3.50	 0.00 	  0.01
0.42 	 3.50	 0.00 	  0.02
0.43 	 3.50	 0.00 	  0.02
0.44 	 3.50	 0.00 	  0.02
0.45 	 3.50	 0.00 	  0.03
0.46 	 3.50	 0.00 	  0.03
0.47 	 3.50	 0.00 	  0.03
0.48 	 3.50	 0.00 	  0.04
0.49 	 3.50	 0.00 	  0.04
0.50 	 3.50	 0.00 	  0.04
0.51 	 3.50	 0.00 	  0.05
0.52 	 3.50	 0.00 	  0.05
0.53 	 3.50	 0.00 	  0.06
0.54 	 3.50	 0.00 	  0.06
0.55 	 3.50	 0.00 	  0.07
0.56 	 3.50	 0.00 	  0.08
0.57 	 3.50	 0.00 	  0.08
0.58 	 3.50	 0.00 	  0.09
0.59 	 3.50	 0.00 	  0.09
0.60 	 3.50	 0.00 	  0.10
0.61 	 3.50	 0.01 	  0.11
0.62 	 3.50	 0.01 	  0.11
0.63 	 3.50	 0.01 	  0.12
0.64 	 3.50	 0.01 	  0.13
0.65 	 3.50	 0.01 	  0.13
0.66 	 3.49	 0.01 	  0.14
0.67 	 3.49	 0.01 	  0.15
0.68 	 3.49	 0.01 	  0.16
0.69 	 3.49	 0.01 	  0.16
0.70 	 3.49	 0.01 	  0.17
0.71 	 3.49	 0.01 	  0.18
0.72 	 3.49	 0.01 	  0.19
0.73 	 3.49	 0.01 	  0.19
0.74 	 3.49	 0.01 	  0.20
0.75 	 3.49	 0.01 	  0.21
0.76 	 3.49	 0.01 	  0.22
0.77 	 3.49	 0.01 	  0.23
0.78 	 3.49	 0.02 	  0.23
0.79 	 3.49	 0.02 	  0.24
0.80 	 3.49	 0.02 	  0.25
0.81 	 3.49	 0.02 	  0.26
0.82 	 3.49	 0.02 	  0.27
0.83 	 3.48	 0.02 	  0.27
0.84 	 3.48	 0.02 	  0.28
0.85 	 3.48	 0.02 	  0.29
0.86 	 3.48	 0.02 	  0.30
0.87 	 3.48	 0.02 	  0.31
0.88 	 3.48	 0.02 	  0.31
0.89 	 3.48	 0.02 	  0.32
0.90 	 3.48	 0.02 	  0.33
0.91 	 3.48	 0.03 	  0.34
0.92 	 3.48	 0.03 	  0.34
0.93 	 3.48	 0.03 	  0.35
0.94 	 3.47	 0.03 	  0.36
0.95 	 3.47	 0.03 	  0.37
0.96 	 3.47	 0.03 	  0.37
0.97 	 3.47	 0.03 	  0.38
0.98 	 3.47	 0.03 	  0.39
0.99 	 3.47	 0.03 	  0.40
1.00 	 3.47	 0.03 	  0.41
1.01 	 3.47	 0.03 	  0.41
1.02 	 3.47	 0.04 	  0.42
1.03 	 3.46	 0.04 	  0.43
1.04 	 3.46	 0.04 	  0.43
1.05 	 3.46	 0.04 	  0.44
1.06 	 3.46	 0.04 	  0.45
1.07 	 3.46	 0.04 	  0.46
1.08 	 3.46	 0.04 	  0.46
1.09 	 3.46	 0.04 	  0.47
1.10 	 3.45	 0.04 	  0.48
1.11 	 3.45	 0.05 	  0.48
1.12 	 3.45	 0.05 	  0.49
1.13 	 3.45	 0.05 	  0.50
1.14 	 3.45	 0.05 	  0.51
1.15 	 3.45	 0.05 	  0.51
1.16 	 3.45	 0.05 	  0.52
1.17 	 3.44	 0.05 	  0.53
1.18 	 3.44	 0.05 	  0.53
1.19 	 3.44	 0.05 	  0.54
1.20 	 3.44	 0.06 	  0.55
1.21 	 3.44	 0.06 	  0.55
1.22 	 3.44	 0.06 	  0.56
1.23 	 3.43	 0.06 	  0.57
1.24 	 3.43	 0.06 	  0.57
1.25 	 3.43	 0.06 	  0.58
1.26 	 3.43	 0.06 	  0.59
1.27 	 3.43	 0.06 	  0.59
1.28 	 3.42	 0.07 	  0.60
1.29 	 3.42	 0.07 	  0.61
1.30 	 3.42	 0.07 	  0.61
1.31 	 3.42	 0.07 	  0.62
1.32 	 3.42	 0.07 	  0.63
1.33 	 3.42	 0.07 	  0.63
1.34 	 3.41	 0.07 	  0.64
1.35 	 3.41	 0.08 	  0.65
1.36 	 3.41	 0.08 	  0.65
1.37 	 3.41	 0.08 	  0.66
1.38 	 3.41	 0.08 	  0.67
1.39 	 3.40	 0.08 	  0.67
1.40 	 3.40	 0.08 	  0.68
1.41 	 3.40	 0.08 	  0.69
1.42 	 3.40	 0.09 	  0.69
1.43 	 3.39	 0.09 	  0.70
1.44 	 3.39	 0.09 	  0.71
1.45 	 3.39	 0.09 	  0.71
1.46 	 3.39	 0.09 	  0.72
1.47 	 3.39	 0.09 	  0.73
1.48 	 3.38	 0.09 	  0.73
1.49 	 3.38	 0.10 	  0.74
1.50 	 3.38	 0.10 	  0.74
1.51 	 3.38	 0.10 	  0.75
1.52 	 3.37	 0.10 	  0.76
1.53 	 3.37	 0.10 	  0.76
1.54 	 3.37	 0.10 	  0.77
1.55 	 3.37	 0.11 	  0.78
1.56 	 3.36	 0.11 	  0.78
1.57 	 3.36	 0.11 	  0.79
1.58 	 3.36	 0.11 	  0.79
1.59 	 3.36	 0.11 	  0.80
1.60 	 3.35	 0.11 	  0.81
1.61 	 3.35	 0.12 	  0.81
1.62 	 3.35	 0.12 	  0.82
1.63 	 3.35	 0.12 	  0.83
1.64 	 3.34	 0.12 	  0.83
1.65 	 3.34	 0.12 	  0.84
1.66 	 3.34	 0.13 	  0.84
1.67 	 3.33	 0.13 	  0.85
1.68 	 3.33	 0.13 	  0.86
1.69 	 3.33	 0.13 	  0.86
1.70 	 3.33	 0.13 	  0.87
1.71 	 3.32	 0.14 	  0.87
1.72 	 3.32	 0.14 	  0.88
1.73 	 3.32	 0.14 	  0.89
1.74 	 3.31	 0.14 	  0.89
1.75 	 3.31	 0.14 	  0.90
1.76 	 3.31	 0.15 	  0.90
1.77 	 3.30	 0.15 	  0.91
1.78 	 3.30	 0.15 	  0.92
1.79 	 3.30	 0.15 	  0.92
1.80 	 3.30	 0.15 	  0.93
1.81 	 3.29	 0.16 	  0.93
1.82 	 3.29	 0.16 	  0.94
1.83 	 3.29	 0.16 	  0.94
1.84 	 3.28	 0.16 	  0.95
1.85 	 3.28	 0.16 	  0.95
1.86 	 3.28	 0.17 	  0.96
1.87 	 3.27	 0.17 	  0.97
1.88 	 3.27	 0.17 	  0.97
1.89 	 3.27	 0.17 	  0.98
1.90 	 3.26	 0.18 	  0.98
1.91 	 3.26	 0.18 	  0.99
1.92 	 3.26	 0.18 	  0.99
1.93 	 3.25	 0.18 	  1.00
1.94 	 3.25	 0.18 	  1.00
1.95 	 3.24	 0.19 	  1.01
1.96 	 3.24	 0.19 	  1.01
1.97 	 3.24	 0.19 	  1.02
1.98 	 3.23	 0.19 	  1.02
1.99 	 3.23	 0.20 	  1.03
2.00 	 3.23	 0.20 	  1.03
2.01 	 3.22	 0.20 	  1.04
2.02 	 3.22	 0.20 	  1.04
2.03 	 3.21	 0.21 	  1.05
2.04 	 3.21	 0.21 	  1.05
2.05 	 3.21	 0.21 	  1.06
2.06 	 3.20	 0.21 	  1.06
2.07 	 3.20	 0.22 	  1.07
2.08 	 3.19	 0.22 	  1.07
2.09 	 3.19	 0.22 	  1.07
2.10 	 3.19	 0.22 	  1.08
2.11 	 3.18	 0.23 	  1.08
2.12 	 3.18	 0.23 	  1.09
2.13 	 3.17	 0.23 	  1.09
2.14 	 3.17	 0.23 	  1.10
2.15 	 3.17	 0.24 	  1.10
2.16 	 3.16	 0.24 	  1.10
2.17 	 3.16	 0.24 	  1.11
