0.00001 	 -nan 	 -nan	 -nan 
0.01001 	 2.00000 	 0.00000	 0.00000 
0.02001 	 2.00000 	 0.00000	 0.00000 
0.03001 	 2.00000 	 0.00000	 0.00000 
0.04001 	 2.00000 	 0.00000	 0.00000 
0.05001 	 2.00000 	 0.00000	 0.00000 
0.06001 	 2.00000 	 0.00000	 0.00000 
0.07001 	 2.00000 	 0.00000	 0.00000 
0.08001 	 2.00000 	 0.00000	 0.00000 
0.09001 	 2.00000 	 0.00000	 0.00000 
0.10001 	 2.00000 	 0.00000	 0.00000 
0.11001 	 2.00000 	 0.00000	 0.00000 
0.12001 	 2.00000 	 0.00000	 0.00000 
0.13001 	 2.00000 	 0.00000	 0.00000 
0.14001 	 2.00000 	 0.00000	 0.00000 
0.15001 	 2.00000 	 0.00000	 0.00000 
0.16001 	 2.00000 	 0.00000	 0.00000 
0.17001 	 1.99999 	 0.00000	 0.00000 
0.18001 	 1.99999 	 0.00000	 0.00000 
0.19001 	 1.99997 	 0.00001	 0.00000 
0.20001 	 1.99995 	 0.00001	 0.00000 
0.21001 	 1.99993 	 0.00002	 0.00000 
0.22001 	 1.99989 	 0.00002	 0.00000 
0.23001 	 1.99983 	 0.00004	 0.00001 
0.24001 	 1.99976 	 0.00006	 0.00001 
0.25001 	 1.99966 	 0.00008	 0.00002 
0.26001 	 1.99954 	 0.00012	 0.00003 
0.27001 	 1.99939 	 0.00016	 0.00005 
0.28001 	 1.99921 	 0.00022	 0.00007 
0.29001 	 1.99898 	 0.00029	 0.00010 
0.30001 	 1.99872 	 0.00038	 0.00014 
0.31001 	 1.99841 	 0.00049	 0.00019 
0.32001 	 1.99805 	 0.00062	 0.00026 
0.33001 	 1.99764 	 0.00078	 0.00034 
0.34001 	 1.99718 	 0.00096	 0.00044 
0.35001 	 1.99666 	 0.00117	 0.00057 
0.36001 	 1.99608 	 0.00142	 0.00073 
0.37001 	 1.99543 	 0.00170	 0.00093 
0.38001 	 1.99472 	 0.00202	 0.00116 
0.39001 	 1.99394 	 0.00238	 0.00144 
0.40001 	 1.99310 	 0.00278	 0.00177 
0.41001 	 1.99218 	 0.00323	 0.00216 
0.42001 	 1.99119 	 0.00373	 0.00261 
0.43001 	 1.99013 	 0.00429	 0.00314 
0.44001 	 1.98899 	 0.00489	 0.00375 
0.45001 	 1.98778 	 0.00556	 0.00445 
0.46001 	 1.98650 	 0.00629	 0.00525 
0.47001 	 1.98514 	 0.00709	 0.00617 
0.48001 	 1.98370 	 0.00795	 0.00721 
0.49001 	 1.98218 	 0.00888	 0.00838 
0.50001 	 1.98059 	 0.00989	 0.00970 
0.51001 	 1.97892 	 0.01097	 0.01117 
0.52001 	 1.97717 	 0.01213	 0.01282 
0.53001 	 1.97534 	 0.01338	 0.01466 
0.54001 	 1.97344 	 0.01471	 0.01670 
0.55001 	 1.97145 	 0.01612	 0.01896 
0.56001 	 1.96939 	 0.01763	 0.02145 
0.57001 	 1.96726 	 0.01924	 0.02419 
0.58001 	 1.96504 	 0.02094	 0.02720 
0.59001 	 1.96275 	 0.02274	 0.03049 
0.60001 	 1.96038 	 0.02464	 0.03409 
0.61001 	 1.95793 	 0.02665	 0.03802 
0.62001 	 1.95541 	 0.02877	 0.04229 
0.63001 	 1.95281 	 0.03100	 0.04692 
0.64001 	 1.95013 	 0.03335	 0.05195 
0.65001 	 1.94738 	 0.03581	 0.05738 
0.66001 	 1.94455 	 0.03840	 0.06325 
0.67001 	 1.94165 	 0.04111	 0.06958 
0.68001 	 1.93867 	 0.04395	 0.07638 
0.69001 	 1.93561 	 0.04692	 0.08370 
0.70001 	 1.93248 	 0.05002	 0.09154 
0.71001 	 1.92928 	 0.05326	 0.09994 
0.72001 	 1.92600 	 0.05664	 0.10893 
0.73001 	 1.92264 	 0.06017	 0.11853 
0.74001 	 1.91921 	 0.06384	 0.12876 
0.75001 	 1.91571 	 0.06766	 0.13967 
0.76001 	 1.91213 	 0.07163	 0.15127 
0.77001 	 1.90847 	 0.07575	 0.16359 
0.78001 	 1.90475 	 0.08004	 0.17668 
0.79001 	 1.90094 	 0.08449	 0.19054 
0.80001 	 1.89706 	 0.08910	 0.20522 
0.81001 	 1.89311 	 0.09388	 0.22075 
0.82001 	 1.88908 	 0.09883	 0.23716 
0.83001 	 1.88498 	 0.10396	 0.25447 
0.84001 	 1.88080 	 0.10926	 0.27272 
0.85001 	 1.87654 	 0.11475	 0.29195 
0.86001 	 1.87221 	 0.12041	 0.31217 
0.87001 	 1.86780 	 0.12627	 0.33343 
0.88001 	 1.86331 	 0.13231	 0.35576 
0.89001 	 1.85875 	 0.13855	 0.37918 
0.90001 	 1.85411 	 0.14498	 0.40373 
0.91001 	 1.84940 	 0.15162	 0.42944 
0.92001 	 1.84460 	 0.15845	 0.45633 
0.93001 	 1.83973 	 0.16549	 0.48445 
0.94001 	 1.83478 	 0.17273	 0.51382 
0.95001 	 1.82974 	 0.18019	 0.54446 
0.96001 	 1.82463 	 0.18786	 0.57641 
0.97001 	 1.81944 	 0.19574	 0.60970 
0.98001 	 1.81416 	 0.20385	 0.64434 
0.99001 	 1.80881 	 0.21217	 0.68038 
1.00001 	 1.80337 	 0.22072	 0.71782 
1.01001 	 1.79784 	 0.22949	 0.75670 
1.02001 	 1.79223 	 0.23850	 0.79704 
1.03001 	 1.78654 	 0.24773	 0.83886 
1.04001 	 1.78076 	 0.25720	 0.88218 
1.05001 	 1.77490 	 0.26690	 0.92702 
1.06001 	 1.76894 	 0.27684	 0.97338 
1.07001 	 1.76290 	 0.28703	 1.02130 
1.08001 	 1.75677 	 0.29745	 1.07078 
1.09001 	 1.75055 	 0.30812	 1.12182 
1.10001 	 1.74424 	 0.31903	 1.17445 
1.11001 	 1.73783 	 0.33019	 1.22866 
1.12001 	 1.73133 	 0.34160	 1.28445 
1.13001 	 1.72473 	 0.35326	 1.34184 
1.14001 	 1.71804 	 0.36517	 1.40080 
1.15001 	 1.71126 	 0.37733	 1.46135 
1.16001 	 1.70437 	 0.38975	 1.52347 
1.17001 	 1.69738 	 0.40242	 1.58714 
1.18001 	 1.69029 	 0.41535	 1.65236 
1.19001 	 1.68310 	 0.42853	 1.71910 
1.20001 	 1.67581 	 0.44197	 1.78734 
1.21001 	 1.66840 	 0.45566	 1.85706 
1.22001 	 1.66090 	 0.46962	 1.92821 
1.23001 	 1.65328 	 0.48383	 2.00077 
1.24001 	 1.64555 	 0.49829	 2.07470 
1.25001 	 1.63771 	 0.51301	 2.14994 
1.26001 	 1.62975 	 0.52799	 2.22646 
1.27001 	 1.62168 	 0.54322	 2.30419 
1.28001 	 1.61349 	 0.55870	 2.38308 
1.29001 	 1.60519 	 0.57443	 2.46305 
1.30001 	 1.59676 	 0.59041	 2.54404 
1.31001 	 1.58820 	 0.60664	 2.62597 
1.32001 	 1.57952 	 0.62311	 2.70876 
1.33001 	 1.57071 	 0.63983	 2.79231 
1.34001 	 1.56177 	 0.65678	 2.87653 
1.35001 	 1.55270 	 0.67397	 2.96132 
1.36001 	 1.54349 	 0.69139	 3.04656 
1.37001 	 1.53414 	 0.70903	 3.13214 
1.38001 	 1.52465 	 0.72690	 3.21794 
1.39001 	 1.51501 	 0.74499	 3.30382 
1.40001 	 1.50523 	 0.76328	 3.38965 
1.41001 	 1.49530 	 0.78179	 3.47527 
1.42001 	 1.48521 	 0.80049	 3.56054 
1.43001 	 1.47497 	 0.81938	 3.64529 
1.44001 	 1.46457 	 0.83846	 3.72935 
1.45001 	 1.45400 	 0.85772	 3.81255 
1.46001 	 1.44327 	 0.87714	 3.89469 
1.47001 	 1.43236 	 0.89672	 3.97557 
1.48001 	 1.42128 	 0.91644	 4.05500 
1.49001 	 1.41001 	 0.93630	 4.13277 
1.50001 	 1.39857 	 0.95628	 4.20864 
1.51001 	 1.38693 	 0.97638	 4.28238 
1.52001 	 1.37510 	 0.99657	 4.35377 
1.53001 	 1.36306 	 1.01684	 4.42255 
1.54001 	 1.35082 	 1.03717	 4.48845 
1.55001 	 1.33837 	 1.05756	 4.55123 
1.56001 	 1.32571 	 1.07797	 4.61059 
1.57001 	 1.31281 	 1.09839	 4.66626 
1.58001 	 1.29969 	 1.11880	 4.71795 
1.59001 	 1.28633 	 1.13918	 4.76535 
1.60001 	 1.27272 	 1.15949	 4.80816 
1.61001 	 1.25886 	 1.17971	 4.84606 
1.62001 	 1.24473 	 1.19982	 4.87872 
1.63001 	 1.23034 	 1.21979	 4.90582 
1.64001 	 1.21566 	 1.23957	 4.92702 
1.65001 	 1.20068 	 1.25913	 4.94198 
1.66001 	 1.18541 	 1.27844	 4.95035 
1.67001 	 1.16981 	 1.29745	 4.95178 
1.68001 	 1.15389 	 1.31612	 4.94590 
1.69001 	 1.13762 	 1.33439	 4.93238 
1.70001 	 1.12100 	 1.35221	 4.91084 
1.71001 	 1.10400 	 1.36952	 4.88092 
1.72001 	 1.08660 	 1.38626	 4.84228 
1.73001 	 1.06880 	 1.40236	 4.79455 
1.74001 	 1.05056 	 1.41773	 4.73739 
1.75001 	 1.03186 	 1.43230	 4.67047 
1.76001 	 1.01269 	 1.44597	 4.59344 
1.77001 	 0.99300 	 1.45863	 4.50601 
1.78001 	 0.97277 	 1.47017	 4.40787 
1.79001 	 0.95196 	 1.48045	 4.29876 
1.80001 	 0.93054 	 1.48934	 4.17842 
1.81001 	 0.90846 	 1.49666	 4.04664 
1.82001 	 0.88567 	 1.50224	 3.90326 
1.83001 	 0.86211 	 1.50585	 3.74814 
1.84001 	 0.83773 	 1.50726	 3.58124 
1.85001 	 0.81244 	 1.50618	 3.40255 
1.86001 	 0.78616 	 1.50228	 3.21216 
1.87001 	 0.75878 	 1.49517	 3.01029 
1.88001 	 0.73018 	 1.48440	 2.79724 
1.89001 	 0.70021 	 1.46939	 2.57351 
1.90001 	 0.66869 	 1.44946	 2.33976 
1.91001 	 0.63539 	 1.42375	 2.09691 
1.92001 	 0.60000 	 1.39113	 1.84618 
1.93001 	 0.56213 	 1.35016	 1.58922 
1.94001 	 0.52125 	 1.29883	 1.32818 
1.95001 	 0.47658 	 1.23426	 1.06600 
1.96001 	 0.42693 	 1.15210	 0.80671 
1.97001 	 0.37030 	 1.04500	 0.55610 
1.98001 	 0.30280 	 0.89875	 0.32306 
1.99001 	 0.21439 	 0.67688	 0.12321 
2.00001 	 0.00000 	 0.00000	 0.00000 
2.01001 	 0.00000 	 0.00000	 0.00000 
2.02001 	 0.00000 	 0.00000	 0.00000 
2.03001 	 0.00000 	 0.00000	 0.00000 
2.04001 	 0.00000 	 0.00000	 0.00000 
2.05001 	 0.00000 	 0.00000	 0.00000 
2.06001 	 0.00000 	 0.00000	 0.00000 
2.07001 	 0.00000 	 0.00000	 0.00000 
2.08001 	 0.00000 	 0.00000	 0.00000 
2.09001 	 0.00000 	 0.00000	 0.00000 
2.10001 	 0.00000 	 0.00000	 0.00000 
2.11001 	 0.00000 	 0.00000	 0.00000 
2.12001 	 0.00000 	 0.00000	 0.00000 
2.13001 	 0.00000 	 0.00000	 0.00000 
2.14001 	 0.00000 	 0.00000	 0.00000 
2.15001 	 0.00000 	 0.00000	 0.00000 
2.16001 	 0.00000 	 0.00000	 0.00000 
2.17001 	 0.00000 	 0.00000	 0.00000 
2.18001 	 0.00000 	 0.00000	 0.00000 
2.19001 	 0.00000 	 0.00000	 0.00000 
2.20001 	 0.00000 	 0.00000	 0.00000 
2.21001 	 0.00000 	 0.00000	 0.00000 
2.22001 	 0.00000 	 0.00000	 0.00000 
2.23001 	 0.00000 	 0.00000	 0.00000 
2.24001 	 0.00000 	 0.00000	 0.00000 
2.25001 	 0.00000 	 0.00000	 0.00000 
2.26001 	 0.00000 	 0.00000	 0.00000 
2.27001 	 0.00000 	 0.00000	 0.00000 
2.28001 	 0.00000 	 0.00000	 0.00000 
2.29001 	 0.00000 	 0.00000	 0.00000 
2.30001 	 0.00000 	 0.00000	 0.00000 
2.31001 	 0.00000 	 0.00000	 0.00000 
2.32001 	 0.00000 	 0.00000	 0.00000 
2.33001 	 0.00000 	 0.00000	 0.00000 
2.34001 	 0.00000 	 0.00000	 0.00000 
2.35001 	 0.00000 	 0.00000	 0.00000 
2.36001 	 0.00000 	 0.00000	 0.00000 
2.37001 	 0.00000 	 0.00000	 0.00000 
2.38001 	 0.00000 	 0.00000	 0.00000 
2.39001 	 0.00000 	 0.00000	 0.00000 
2.40001 	 0.00000 	 0.00000	 0.00000 
2.41001 	 0.00000 	 0.00000	 0.00000 
